"year","month","approve","unemp"
1994,4,0.397948712110519,10.8999996185303
1994,5,0.416921496391296,10.5
1994,6,0.451041668653488,10.3000001907349
1994,7,0.469449013471603,10.6000003814697
1994,8,0.487856388092041,10.3999996185303
1994,9,0.515337407588959,10
1994,10,0.542134821414948,9.89999961853027
1994,11,0.455172419548035,9.80000019073486
1994,12,0.4785276055336,10.1999998092651
1995,1,0.455375254154205,11.1000003814697
1995,2,0.433884292840958,11
1995,3,0.448979586362839,10.6000003814697
1995,4,0.48870638012886,10.3999996185303
1995,5,0.49168398976326,10
1995,6,0.496919929981232,10
1995,7,0.516582906246185,10.3999996185303
1995,8,0.506271243095398,10.3000001907349
1995,9,0.495959609746933,10.1999998092651
1995,10,0.503567814826965,10.1999998092651
1995,11,0.490759760141373,10.3000001907349
1995,12,0.435305923223495,10.8999996185303
